1,ROWBURY Shannon,USA,3:57.78,15.5,30.4,46.4,1:03.0,1:19.6,1:36.0,1:52.3,2:08.6,2:24.6,2:40.6,2:56.2,3:11.7,3:27.0,3:42.5
2,MUIR Laura,GBR,3:57.85,15.3,30.2,46.2,1:02.9,1:19.5,1:35.8,1:52.1,2:08.4,2:24.5,2:40.4,2:56.0,3:11.5,3:26.8,3:42.3
3,HASSAN Sifan,NED,3:58.43,16.5,31.9,46.9,1:03.3,1:20.0,1:36.3,1:52.6,2:08.9,2:25.1,2:41.2,2:57.0,3:12.5,3:27.8,3:43.1
4,SIMPSON Jenny,USA,3:58.54,15.6,30.9,47.1,1:03.6,1:20.2,1:36.6,1:52.8,2:09.2,2:24.8,2:40.7,2:56.5,3:11.9,3:27.2,3:42.5
5,SEYAUM Dawit,ETH,3:58.63,16.3,31.8,47.1,1:03.4,1:20.1,1:36.4,1:52.9,2:09.4,2:25.2,2:41.5,2:57.2,3:12.5,3:27.6,3:42.8
6,SADO Besu,ETH,3:59.47,16,31.5,47.2,1:03.6,1:20.3,1:36.4,1:52.7,2:09.0,2:24.8,2:40.9,2:56.7,3:12.1,3:27.4,3:43.1
7,KIPYEGON Faith,KEN,4:01.86,15.4,30.4,46.3,1:03.0,1:19.6,1:35.9,1:52.3,2:08.6,2:24.6,2:40.3,2:55.8,3:11.3,3:26.7,3:42.3
8,BAHTA Meraf,SWE,4:03.06,16.2,31.6,47.4,1:04.1,1:20.7,1:37.1,1:53.5,2:10.0,2:26.0,2:42.4,2:58.1,3:13.8,3:29.4,3:45.8
9,TSEGAY Gudaf,ETH,4:04.29,15.4,30.3,46.5,1:03.2,1:19.8,1:36.1,1:52.5,2:08.8,2:24.9,2:41.4,2:57.3,3:13.0,3:29.4,3:46.6
